Plural,Singular,Type,Picture,Picture_pl,Final_C,Trigger_txt,Target_txt,New,Target_img,Trigger_img,Target,Number,a,k,New_seg,Corr,Instr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_1.keys,key_resp_1.rt,key_resp_2.keys,key_resp_2.rt,inputText,text_resp.keys,text_resp.rt,key_resp_4.keys,key_resp_4.rt,FC_resp.keys,FC_resp.rt,gender,age,language,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7930825128805736,,,,,,,,,,,,,001,2019_Feb_12_1102,experiment2_b,3.0.0,59.8541331491838,
larupu,larub,Alt,Images/rock.jpg,Images/rock_pl.jpg,b,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,001,2019_Feb_12_1102,experiment2_b,3.0.0,59.8541331491838,
nalipu,nalib,Alt,Images/coin.jpg,Images/coin_pl.jpg,b,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,001,2019_Feb_12_1102,experiment2_b,3.0.0,59.8541331491838,
musapu,musab,Alt,Images/apple.jpg,Images/apple_pl.jpg,b,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,001,2019_Feb_12_1102,experiment2_b,3.0.0,59.8541331491838,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.4516188901216083,,,,,,,,,,,001,2019_Feb_12_1102,experiment2_b,3.0.0,59.8541331491838,
,,Alt,,,b,musapu,musab,Given,Images/apple.jpg,Images/apple_pl.jpg,sg,Write the singular form on your keyboard - then press enter,,,,,,,,,,0,0,0,0,,,,,,,,,musab,"['m', 'u', 's', 'a', 'b', 'return']","[1.6155199954937416, 1.8486130381570547, 1.9817780997582304, 2.1984322228418023, 2.431096053122019, 2.7477370353117294]",,,,,,,,001,2019_Feb_12_1102,experiment2_b,3.0.0,59.8541331491838,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.421164436982508,,,,,,001,2019_Feb_12_1102,experiment2_b,3.0.0,59.8541331491838,
,,Alt,,,b,minupu,,,Images/raindrop.jpg,Images/raindrop_pl.jpg,sg,,minup,minub,Given,k,Choose the singular form of the word that belongs to the language,,,,,,,,,0,0,0,3,,,,,,,,,,k,1.498838651981714,,,,001,2019_Feb_12_1102,experiment2_b,3.0.0,59.8541331491838,
,,Alt,,,b,nasapu,,,Images/spear.jpg,Images/spear_pl.jpg,sg,,nasap,nasab,Given,k,Choose the singular form of the word that belongs to the language,,,,,,,,,0,1,1,1,,,,,,,,,,k,1.3158905004984263,,,,001,2019_Feb_12_1102,experiment2_b,3.0.0,59.8541331491838,
,,Alt,,,b,sanub,,,Images/hammock_pl.jpg,Images/hammock.jpg,pl,,sanupu,sanubu,Given,a,Choose the plural form of the word that belongs to the language,,,,,,,,,0,2,2,2,,,,,,,,,,a,2.2983098589138535,,,,001,2019_Feb_12_1102,experiment2_b,3.0.0,59.8541331491838,
,,Alt,,,b,rumab,,,Images/soldier_pl.jpg,Images/soldier.jpg,pl,,rumapu,rumabu,Given,a,Choose the plural form of the word that belongs to the language,,,,,,,,,0,3,3,0,,,,,,,,,,a,0.999431272261063,,,,001,2019_Feb_12_1102,experiment2_b,3.0.0,59.8541331491838,
